"table_name","column_name","data_type","r_type"
"COND_DWM_CALC","pile_tl_adj","numeric","double"
"EVALIDATOR_LOG","retrieval_type","character varying","character"
"COND","sisp_fvs","smallint","double"
"COND_DWM_CALC","cwd_volcf_unadj","double precision","double"
"SOILS_LAB","statecd","smallint","double"
"OZONE_VALIDATION","countycd","smallint","double"
"POP_EVAL_TYP","cn","character varying","character"
"OZONE_BIOSITE_SUMMARY","location_cnt","double precision","double"
"OZONE_SPECIES_SUMMARY","biospcd_sum","double precision","double"
"TREE","sitree","smallint","double"
"EVALIDATOR_LOG","remote_address","character varying","character"
"TREE_GRM_ESTN","dia_midpt","numeric","double"
"PLOTSNAP","eval_grp","integer","double"
"DWM_COARSE_WOODY_DEBRIS","length_cd","smallint","double"
"COND","dstrbyr3","smallint","double"
"VEG_SUBPLOT","stream_lake_cover_pct","smallint","double"
"OZONE_PLOT","measyear","smallint","double"
"REF_SPECIES","mc_pct_green_wood_cit","integer","double"
"TREE","agechkcd_rmrs","smallint","double"
"REF_GRM_TYPE","created_date","timestamp without time zone","IDate"
"PLOTSNAP","adj_expdwm_fwd_sm","double precision","double"
"BOUNDARY","subp","smallint","double"
"PLOTSNAP","mort_typ_cd","smallint","double"
"POP_EVAL","growth_acct","character varying","character"
"POP_ESTN_UNIT","p1source","character varying","character"
"TREE","volcfsnd_top_bark","numeric","double"
"REF_STATE_ELEV","min_elev","integer","double"
"TREE","spcd","double precision","double"
"SEEDLING_REGEN","subcycle","smallint","double"
"TREE_GRM_MIDPT","voltssnd","double precision","double"
"COND","vol_loc_grp","character varying","character"
"SUBPLOT","ground_tran_pts_peis_rmrs","smallint","double"
"SOILS_SAMPLE_LOC","vstnbr","smallint","double"
"TREE_WOODLAND_STEMS","stem_nbr","smallint","double"
"REF_HABTYP_DESCRIPTION","created_by","character varying","character"
"LICHEN_PLOT_SUMMARY","statecd","smallint","double"
"SOILS_LAB","created_date","timestamp without time zone","IDate"
"DWM_DUFF_LITTER_FUEL","fuelbed_method","smallint","double"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_30","character varying","character"
"COND","dominant_species2_pnwrs","smallint","double"
"PLOT","measday","smallint","double"
"COND","micrprop_unadj","double precision","double"
"DWM_COARSE_WOODY_DEBRIS","modified_date","timestamp without time zone","IDate"
"REF_GRND_LYR","bulkdensity_coeff_m","numeric","double"
"TREE","prev_status_cd","smallint","double"
"EVALIDATOR_POP_ESTIMATE","created_date","timestamp without time zone","IDate"
"REF_SPECIES","dwm_carbon_ratio","numeric","double"
"TREE","volbfnet","numeric","double"
"FIA_REPORTING_LOG","geographic_area","character varying","character"
"PLOT","cty_cn","character varying","character"
"VEG_QUADRAT","countycd","smallint","double"
"OZONE_VALIDATION","leafvchr","double precision","double"
"REF_OWNGRPCD","created_by","character varying","character"
"TREE_GRM_COMPONENT","mortbfsl_forest","numeric","double"
"TREE","treeclcd_31_ncrs","smallint","double"
"DWM_MICROPLOT_FUEL","statecd","smallint","double"
"REF_HABTYP_PUBLICATION","modified_date","timestamp without time zone","IDate"
"COND","condid","smallint","double"
"TREE_GRM_ESTN","d","numeric","double"
"TREE_GRM_MIDPT","volcfsnd","double precision","double"
"PLOT_REGEN","browse_impact","smallint","double"
"TREE_GRM_COMPONENT","subptyp_midpt","smallint","double"
"REF_NVCS_LEVEL_1_CODES","created_date","timestamp without time zone","IDate"
"SEEDLING","modified_by","character varying","character"
"SOILS_VISIT","invyr","smallint","double"
"REF_PLANT_DICTIONARY","genus","character varying","character"
"REF_SPECIES","carbon_ratio_live","numeric","double"
"DWM_VISIT","dwm_nbr_subp_transect","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","largedia","smallint","double"
"TREE_WOODLAND_STEMS","plt_cn","character varying","character"
"TREE","radgrw_rmrs","smallint","double"
"REF_FVS_VAR_NAME","modified_by","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_26","character varying","character"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_1_label","character varying","character"
"TREE","volcsnet_bark","numeric","double"
"REF_DAMAGE_AGENT","created_date","timestamp without time zone","IDate"
"TREE_GRM_MIDPT","drybio_stump","double precision","double"
"SUBP_COND","created_by","character varying","character"
"TREE","cvigorcd","smallint","double"
"REF_RESEARCH_STATION","modified_in_instance","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_3","character varying","character"
"TREE_GRM_ESTN","g_r","numeric","double"
"TREE_GRM_MIDPT","volcfsnd_bark","double precision","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_6_cd","character varying","character"
"INVASIVE_SUBPLOT_SPP","statecd","smallint","double"
"TREE_GRM_COMPONENT","remvtsal_forest","numeric","double"
"SITETREE","azimuth","smallint","double"
"POP_EVAL","eval_grp_cn","character varying","character"
"POP_ESTN_UNIT","eval_cn","character varying","character"
"SOILS_VISIT","modified_date","timestamp without time zone","IDate"
"COND","modified_date","timestamp without time zone","IDate"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_11","character varying","character"
"LICHEN_PLOT_SUMMARY","created_in_instance","character varying","character"
"DWM_MICROPLOT_FUEL","invyr","smallint","double"
"TREE_GRM_BEGIN","volcfgrs_bark","double precision","double"
"REF_OWNGRPCD","created_date","timestamp without time zone","IDate"
"REF_TREE_STND_DEAD_CR_PROP","cn","character varying","character"
"PLOT","prev_plt_cn","character varying","character"
"DWM_VISIT","modified_date","timestamp without time zone","IDate"
"PLOTSNAP","qa_status","smallint","double"
"DWM_MICROPLOT_FUEL","lvshrbht","double precision","double"
"TREE_GRM_BEGIN","prev_tre_cn","character varying","character"
"POP_PLOT_STRATUM_ASSGN","created_in_instance","character varying","character"
"TREE_GRM_COMPONENT","subp_tpamort_unadj_gs_forest","numeric","double"
"REF_PLANT_DICTIONARY","us_nativity","character varying","character"
"LICHEN_PLOT_SUMMARY","invyr","smallint","double"
"SOILS_SAMPLE_LOC","countycd","smallint","double"
"SEEDLING_REGEN","subp","smallint","double"
"REF_PLANT_DICTIONARY","f","character varying","character"
"INVASIVE_SUBPLOT_SPP","invyr","smallint","double"
"COND","condprop_unadj","double precision","double"
"PLOTSNAP","plot_status_cd","smallint","double"
"GRND_CVR","created_in_instance","character varying","character"
"REF_NVCS_LEVEL_5_CODES","modified_by","character varying","character"
"OZONE_VALIDATION","modified_date","timestamp without time zone","IDate"
"VEG_VISIT","plt_cn","character varying","character"
"REF_NVCS_LEVEL_1_CODES","cn","character varying","character"
"COND_DWM_CALC","fwd_md_tl_unadj","numeric","double"
"REF_POP_ATTRIBUTE","created_date","timestamp without time zone","IDate"
"DWM_DUFF_LITTER_FUEL","created_in_instance","character varying","character"
"TREE","voltssnd_bark","numeric","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_1_cd","character varying","character"
"SITETREE","year_age_taken","smallint","double"
"P2VEG_SUBP_STRUCTURE","plt_cn","character varying","character"
"SOILS_VISIT","statecd","smallint","double"
"OZONE_SPECIES_SUMMARY","o3plot","double precision","double"
"REF_NVCS_LEVEL_4_CODES","primary_class","character varying","character"
"TREE_GRM_BEGIN","drybio_sawlog_bark","double precision","double"
"INVASIVE_SUBPLOT_SPP","created_by","character varying","character"
"OZONE_PLOT_SUMMARY","aspect","smallint","double"
"REF_NVCS_LEVEL_5_CODES","cn","character varying","character"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_8_cd","character varying","character"
"TREE","bored_cd_pnwrs","smallint","double"
"P2VEG_SUBP_STRUCTURE","modified_by","character varying","character"
"TREE","volbsnet","numeric","double"
"DWM_COARSE_WOODY_DEBRIS","invyr","smallint","double"
"REF_TREE_DECAY_PROP","decaycd","smallint","double"
"SOILS_LAB","residual_water_content_pct","numeric","double"
"BOUNDARY","bndchg","smallint","double"
"OZONE_VISIT","countycd","smallint","double"
"TREE_GRM_COMPONENT","ann_ht_growth","numeric","double"
"REF_NVCS_LEVEL_1_CODES","modified_by","character varying","character"
"SEEDLING","invyr","smallint","double"
"PLOTGEOM","fvs_loc_cd","integer","double"
"TREE","htdmp","numeric","double"
"REF_DAMAGE_AGENT_GROUP","created_by","character varying","character"
"SUBP_COND_CHNG_MTRX","condid","smallint","double"
"VEG_VISIT","created_date","timestamp without time zone","IDate"
"COND_DWM_CALC","pile_sample_area_adj","numeric","double"
"EVALIDATOR_VARIABLE_LIBRARY","page_list","character","character"
"SEEDLING","totage","smallint","double"
"LICHEN_VISIT","issuecd2","double precision","double"
"REF_PLANT_DICTIONARY","species","character varying","character"
"COND_DWM_CALC","fwd_sm_drybio_unadj","double precision","double"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_2","character varying","character"
"REF_RESEARCH_STATION","modified_by","character varying","character"
"TREE_GRM_BEGIN","modified_by","character varying","character"
"BEGINEND","modified_in_instance","character varying","character"
"COND_DWM_CALC","invyr","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","spcd","double precision","double"
"PLOTSNAP","expall","double precision","double"
"PLOT","declination","numeric","double"
"REF_NVCS_HIERARCHY_STRCT","modified_by","character varying","character"
"SUBPLOT_REGEN","modified_by","character varying","character"
"VEG_SUBPLOT_SPP","created_by","character varying","character"
"PLOT","reusecd3","smallint","double"
"LICHEN_LAB","created_date","timestamp without time zone","IDate"
"PLOTSNAP","adj_expdwm_fwd_lg","double precision","double"
"POP_STRATUM","stratum_descr","character varying","character"
"REF_NVCS_LEVEL_6_CODES","note","character varying","character"
"TREE_GRM_BEGIN","cullform","smallint","double"
"REF_INVASIVE_SPECIES","end_date","timestamp without time zone","IDate"
"SITETREE","sieqn_ref_cd_fvs","character varying","character"
"DWM_FINE_WOODY_DEBRIS","small_tl_plot","double precision","double"
"REF_HABTYP_PUBLICATION","created_in_instance","character varying","character"
"TREE","mist_cl_cd_pnwrs","smallint","double"
"VEG_SUBPLOT","countycd","smallint","double"
"DWM_RESIDUAL_PILE","countycd","smallint","double"
"DWM_TRANSECT_SEGMENT","countycd","smallint","double"
"PLOT","rddistcd","smallint","double"
"REF_FOREST_TYPE_GROUP","created_by","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_28","character varying","character"
"POP_ESTN_UNIT","created_in_instance","character varying","character"
"POP_EVAL","created_by","character varying","character"
"COND","fldage","smallint","double"
"REF_CITATION","modified_in_instance","character varying","character"
"DWM_FINE_WOODY_DEBRIS","created_date","timestamp without time zone","IDate"
"VEG_SUBPLOT_SPP","statecd","smallint","double"
"SOILS_LAB","modified_by","character varying","character"
"REF_NVCS_LEVEL_2_CODES","created_by","character varying","character"
"TREE_GRM_COMPONENT","remvcfal_forest","numeric","double"
"TREE_GRM_COMPONENT","tre_cn","character varying","character"
"POP_EVAL_GRP","created_date","timestamp without time zone","IDate"
"PLOTSNAP","samp_method_cd","smallint","double"
"TREE","dist","numeric","double"
"REF_FIADB_VERSION","modified_by","character varying","character"
"TREE_GRM_COMPONENT","subp_subptyp_grm_sl_timber","smallint","double"
"POP_STRATUM","modified_date","timestamp without time zone","IDate"
"INVASIVE_SUBPLOT_SPP","modified_date","timestamp without time zone","IDate"
"REF_NVCS_LEVEL_5_CODES","created_date","timestamp without time zone","IDate"
"REF_DAMAGE_AGENT_GROUP","created_date","timestamp without time zone","IDate"
"TREE_GRM_COMPONENT","remvbfsl_forest","numeric","double"
"TREE_GRM_MIDPT","volcsnet_bark","double precision","double"
"SEEDLING","statecd","smallint","double"
"REF_DIFFERENCE_TEST_PER_ACRE","cn","character varying","character"
"TREE_WOODLAND_STEMS","created_by","character varying","character"
"COND","nvcs_level_3_cd","character varying","character"
"REF_RESEARCH_STATION","statecd","smallint","double"
"REF_LICHEN_SPP_COMMENTS","modified_in_instance","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_10","text","character"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_27","character varying","character"
"SURVEY","modified_in_instance","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","statecd","smallint","double"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_22","character varying","character"
"SUBPLOT","created_date","timestamp without time zone","IDate"
"LICHEN_VISIT","shrubpct","smallint","double"
"COND_DWM_CALC","pile_drybio_adj","double precision","double"
"LICHEN_SPECIES_SUMMARY","measyear","smallint","double"
"DWM_MICROPLOT_FUEL","created_by","character varying","character"
"PLOTSNAP","expp2veg","double precision","double"
"REF_FVS_LOC_NAME","fvs_loc_cd","integer","double"
"REF_NVCS_LEVEL_3_CODES","modified_date","timestamp without time zone","IDate"
"PLOTGEOM","lat","double precision","double"
"P2VEG_SUBPLOT_SPP","created_date","timestamp without time zone","IDate"
"DATAMART_TABLES","modified_by","character varying","character"
"COND","sibase","smallint","double"
"TREE","volcsnet","numeric","double"
"TREE","volcfgrs_stump_bark","numeric","double"
"REF_NVCS_LEVEL_8_CODES","created_by","character varying","character"
"TREE_GRM_THRESHOLD","balive","numeric","double"
"REF_UNIT","created_date","timestamp without time zone","IDate"
"SUBPLOT","condlist","smallint","double"
"TREE_GRM_ESTN","modified_date","timestamp without time zone","IDate"
"REF_HABTYP_PUBLICATION","cn","character varying","character"
"COND","stump_cd_pnwrs","character varying","character"
"REF_FOREST_TYPE_GROUP","fwd_medium_qmd","numeric","double"
"PLOT","watercd","smallint","double"
"SEEDLING_REGEN","countycd","smallint","double"
"REF_GRM_TYPE","cn","character varying","character"
"PLOTSNAP","countycd","smallint","double"
"TREE_GRM_ESTN","estn_units","character varying","character"
"OZONE_PLOT","cn","character varying","character"
"P2VEG_SUBPLOT_SPP","modified_in_instance","character varying","character"
"REF_LICHEN_SPP_COMMENTS","spp_comments","character varying","character"
"LICHEN_VISIT","ftrcd1","double precision","double"
"TREE","damsev2","smallint","double"
"COND","sieqn_ref_cd","character varying","character"
"TREE","plt_cn","character varying","character"
"PLOTSNAP","manual_db","numeric","double"
"SOILS_LAB","exchng_zn","numeric","double"
"DWM_RESIDUAL_PILE","volcf","double precision","double"
"SURVEY","subcycle","smallint","double"
"DWM_COARSE_WOODY_DEBRIS","drybio_ac_unadj","double precision","double"
"SOILS_EROSION","subp","double precision","double"
"DWM_TRANSECT_SEGMENT","created_in_instance","character varying","character"
"LICHEN_VISIT","sftwdpct","smallint","double"
"COND","stand_structure_srs","smallint","double"
"REF_FOREST_TYPE_GROUP","modified_date","timestamp without time zone","IDate"
"TREE","volcfnet_bark","numeric","double"
"OZONE_VISIT","plotwet","double precision","double"
"SITETREE","prev_sit_cn","character varying","character"
"TREE_GRM_MIDPT","ht","smallint","double"
"TREE","actualht_calc_cd","smallint","double"
"VEG_SUBPLOT_SPP","modified_in_instance","character varying","character"
"P2VEG_SUBPLOT_SPP","cover_pct","smallint","double"
"REF_NVCS_LEVEL_3_CODES","nvcs_code","character varying","character"
"SUBPLOT","aspect","smallint","double"
"SITETREE","agedia","smallint","double"
"SOILS_LAB","field_moist_water_content_pct","numeric","double"
"LICHEN_SPECIES_SUMMARY","plots_in_region","smallint","double"
"TREE","standing_dead_cd","smallint","double"
"TREE","epiphyte_pnwrs","smallint","double"
"TREE","boleht","smallint","double"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_1_meaning","character varying","character"
"REF_SPECIES","species_symbol","character varying","character"
"SUBPLOT","cycle","smallint","double"
"PLOT_REGEN","created_date","timestamp without time zone","IDate"
"TREE_GRM_ESTN","modified_in_instance","character varying","character"
"POP_STRATUM","adj_factor_p2veg_subp","double precision","double"
"COND","slope","smallint","double"
"SUBPLOT_REGEN","subcycle","smallint","double"
"PLOT","subcycle","smallint","double"
"TREE_GRM_ESTN","cn","character varying","character"
"OZONE_PLOT","field_id","integer","double"
"REF_FVS_VAR_NAME","created_date","timestamp without time zone","IDate"
"TREE_GRM_BEGIN","volcfnet_bark","double precision","double"
"SOILS_SAMPLE_LOC","txtrlyr2","double precision","double"
"REF_GRM_TYPE","remv_typ_cd","smallint","double"
"SUBP_COND","subp","smallint","double"
"OZONE_VISIT","measyear","smallint","double"
"OZONE_PLOT_SUMMARY","soildrn","double precision","double"
"COND_DWM_CALC","pile_volcf_cond","double precision","double"
"DWM_MICROPLOT_FUEL","created_date","timestamp without time zone","IDate"
"DWM_RESIDUAL_PILE","modified_date","timestamp without time zone","IDate"
"TREE_GRM_THRESHOLD","volcssnd_bark","double precision","double"
"PLOTSNAP","adj_expmort_subp","double precision","double"
"POP_EVAL_ATTRIBUTE","created_in_instance","character varying","character"
"DWM_FINE_WOODY_DEBRIS","medium_tl_unadj","double precision","double"
"SUBPLOT_REGEN","created_date","timestamp without time zone","IDate"
"DWM_TRANSECT_SEGMENT","slope_begndist","double precision","double"
"TREE_GRM_MIDPT","tre_cn","character varying","character"
"TREE_GRM_MIDPT","drybio_bole_bark","double precision","double"
"REF_POP_EVAL_TYP_DESCR","created_by","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","comment_22","character varying","character"
"DWM_RESIDUAL_PILE","azimuth","smallint","double"
"TREE","damage_agent_cd1","integer","double"
"OZONE_SPECIES_SUMMARY","elev","integer","double"
"COND","trtcd3_p2a","smallint","double"
"EVALIDATOR_POP_ESTIMATE","estimate_metadata","text","character"
"EVALIDATOR_LOG","col_time","character varying","character"
"TREE_GRM_MIDPT","volbfgrs","double precision","double"
"REF_SPECIES","spcd","double precision","double"
"TREE_GRM_BEGIN","volbsgrs","double precision","double"
"LICHEN_LAB","plt_cn","character varying","character"
"SITETREE","invyr","smallint","double"
"FIA_REPORTING_LOG","longitude","double precision","double"
"INVASIVE_SUBPLOT_SPP","modified_in_instance","character varying","character"
"DWM_FINE_WOODY_DEBRIS","pilescd","smallint","double"
"COND","live_missing_canopy_cvr_pct","smallint","double"
"TREE_GRM_COMPONENT","subp_component_sl_timber","character varying","character"
"TREE_GRM_MIDPT","drybio_foliage","double precision","double"
"COND","cond_nonsample_reasn_cd","smallint","double"
"PLOTSNAP","manual","numeric","double"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_21","text","character"
"SOILS_EROSION","modified_by","character varying","character"
"REF_PLANT_DICTIONARY","xspecies","character varying","character"
"VEG_SUBPLOT","subp_accessible_forest_pct","smallint","double"
"OZONE_PLOT","cycle","smallint","double"
"TREE","bfsnd","smallint","double"
"VEG_PLOT_SPECIES","vvt_cn","character varying","character"
"REF_FOREST_TYPE","modified_by","character varying","character"
"GRND_CVR","unitcd","smallint","double"
"TREE","volcfsnd_bark","numeric","double"
"REF_NVCS_LEVEL_8_CODES","primary_class","character varying","character"
"POP_STRATUM","created_by","character varying","character"
"SOILS_LAB","exchng_mn","numeric","double"
"REF_FVS_LOC_NAME","created_date","timestamp without time zone","IDate"
"COND","trtyr2_p2a","smallint","double"
"COND_DWM_CALC","fwd_lg_volcf_unadj","double precision","double"
"OZONE_SPECIES_SUMMARY","plant_inj_cnt","double precision","double"
"COND","fortypcd","smallint","double"
"DWM_DUFF_LITTER_FUEL","countycd","smallint","double"
"VEG_PLOT_SPECIES","specimen_resolved","character","character"
"REF_GRND_LYR","created_date","timestamp without time zone","IDate"
"PLOTSNAP","microplot_loc","character varying","character"
"COND_DWM_CALC","stratum_cn","character varying","character"
"POP_PLOT_STRATUM_ASSGN","stratumcd","integer","double"
"PLOT_REGEN","subcycle","smallint","double"
"SEEDLING","countchkcd_rmrs","smallint","double"
"REF_DAMAGE_AGENT","modified_date","timestamp without time zone","IDate"
"PLOTSNAP","measmon","smallint","double"
"TREE","volbfgrs","numeric","double"
"REF_PLANT_DICTIONARY","scientific_name_w_author","character varying","character"
"DWM_COARSE_WOODY_DEBRIS","cover_pct_rgn","double precision","double"
"SUBP_COND_CHNG_MTRX","created_date","timestamp without time zone","IDate"
"SOILS_LAB","smplnnbr","smallint","double"
"SEEDLING_REGEN","spgrpcd","smallint","double"
"COND","carbon_understory_ag","numeric","double"
"EVALIDATOR_VARIABLE_LIBRARY","function_name","character varying","character"
"OZONE_PLOT_SUMMARY","biosite_index","double precision","double"
"SOILS_SAMPLE_LOC","forflthkw","double precision","double"
"TREE","prev_treeclcd_rmrs","smallint","double"
"REF_POP_ATTRIBUTE","cn","character varying","character"
"REF_NVCS_LEVEL_1_CODES","meaning","character varying","character"
"REF_INTL_TO_DOYLE_FACTOR","created_date","timestamp without time zone","IDate"
"REF_NVCS_LEVEL_2_CODES","primary_class","character varying","character"
"REF_CITATION","citation","character varying","character"
"POP_EVAL_GRP","rscd","smallint","double"
"DWM_VISIT","countycd","smallint","double"
"OZONE_BIOSITE_SUMMARY","countycd","smallint","double"
"COND_DWM_CALC","fwd_md_carbon_unadj","double precision","double"
"SOILS_LAB","exchng_fe","numeric","double"
"EVALIDATOR_POP_ESTIMATE","modified_date","timestamp without time zone","IDate"
"TREE_GRM_THRESHOLD","volcsnet","double precision","double"
"SOILS_SAMPLE_LOC","created_date","timestamp without time zone","IDate"
"TREE","treeclcd_srs","smallint","double"
"TREE_GRM_BEGIN","balive","numeric","double"
"PLOTGEOM","modified_date","timestamp without time zone","IDate"
"PLOT","congcd","smallint","double"
"SUBPLOT","created_in_instance","character varying","character"
"TREE_GRM_ESTN","dia_begin_recalc","character varying","character"
"OZONE_VALIDATION","modified_in_instance","character varying","character"
"SOILS_LAB","c_org_pct","numeric","double"
"REF_GRND_LYR","cn","character varying","character"
"SUBPLOT","ground_tran_pts_road_rmrs","smallint","double"
"COND_DWM_CALC","cwd_drybio_cond","double precision","double"
"VEG_PLOT_SPECIES","invyr","smallint","double"
"REF_SPECIES_GROUP","created_date","timestamp without time zone","IDate"
"FIA_REPORTING_LOG","page_name","character varying","character"
"TREE_GRM_MIDPT","voltsgrs","double precision","double"
"PLOTSNAP","adj_expremv_macr","double precision","double"
"OZONE_SPECIES_SUMMARY","soildpth","double precision","double"
"REF_NVCS_LEVEL_7_CODES","nvcs_code","character varying","character"
"OZONE_BIOSITE_SUMMARY","statecd","smallint","double"
"COND_DWM_CALC","rscd","smallint","double"
"OZONE_VALIDATION","measyear","smallint","double"
"REF_DIFFERENCE_TEST_TOTALS","comment_22","text","character"
"VEG_SUBPLOT_SPP","quad_2_presence","smallint","double"
"REF_DAMAGE_AGENT","code","integer","double"
"TREE_GRM_COMPONENT","subp_tpamort_unadj_gs_timber","numeric","double"
"VEG_SUBPLOT","wood_cover_pct","smallint","double"
"TREE","cdiebkcd","smallint","double"
"REF_SPECIES","bark_spgr_greenvol_drywt_cit","integer","double"
"TREE_GRM_BEGIN","volbsnet","double precision","double"
"EVALIDATOR_LOG","geographic_area","character varying","character"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_2_note","character varying","character"
"REF_STATE_ELEV","modified_date","timestamp without time zone","IDate"
"OZONE_BIOSITE_SUMMARY","biosite_index","double precision","double"
"REF_POP_ATTRIBUTE","modified_date","timestamp without time zone","IDate"
"SUBP_COND","modified_by","character varying","character"
"REF_DIFFERENCE_TEST_PER_ACRE","sql_col_21","character varying","character"
"PLOT","modified_by","character varying","character"
"SITETREE","agechkcd_rmrs","smallint","double"
"FIA_REPORTING_LOG","session_id","character varying","character"
"LICHEN_LAB","measyear","smallint","double"
"TREE","volcsgrs_bark","numeric","double"
"COND_DWM_CALC","fwd_sm_volcf_unadj","double precision","double"
"SOILS_VISIT","measday","smallint","double"
"P2VEG_SUBPLOT_SPP","cycle","smallint","double"
"TREE","damloc1","smallint","double"
"EVALIDATOR_POP_ESTIMATE","attribute_descr","character varying","character"
"COND_DWM_CALC","fwd_md_drybio_adj","double precision","double"
"POP_EVAL_TYP","created_date","timestamp without time zone","IDate"
"REF_NVCS_HIERARCHY_STRCT","nvcs_level_3_label","character varying","character"
"REF_DIFFERENCE_TEST_TOTALS","sql_col_2","text","character"
"REF_PLANT_DICTIONARY","var","character varying","character"
"LICHEN_VISIT","ftrcd2","double precision","double"
"DWM_MICROPLOT_FUEL","modified_in_instance","character varying","character"
"DWM_VISIT","fwd_sample_method","character varying","character"
"REF_OWNGRPCD","modified_date","timestamp without time zone","IDate"
"OZONE_VALIDATION","created_date","timestamp without time zone","IDate"
"POP_ESTN_UNIT","area_used","numeric","double"
"POP_EVAL","end_invyr","smallint","double"
"PLOT","unitcd","smallint","double"
"VEG_QUADRAT","vvt_cn","character varying","character"
"SUBP_COND","plt_cn","character varying","character"
"GRND_CVR","modified_in_instance","character varying","character"
"TREE_WOODLAND_STEMS","tre_cn","character varying","character"
"POP_STRATUM","adj_factor_duff","double precision","double"
"REF_FVS_VAR_NAME","fvs_variant","character varying","character"
"TREE","modified_in_instance","character varying","character"
